title,rating,price
A Light in the Attic,3,£51.77
Sharp Objects,4,£47.82
Sapiens: A Brief History of Humankind,5,£54.23
The Dirty Little Secrets of Getting Your Dream Job,4,£33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,£22.60
Shakespeare's Sonnets,4,£20.66
Set Me Free,5,£17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,£52.29
Rip it Up and Start Again,5,£35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,£57.25
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,£30.52
Chase Me (Paris Nights #2),5,£25.27
Black Dust,5,£34.53
Birdsong: A Story in Pictures,3,£54.64
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,£22.50
Aladdin and His Wonderful Lamp,3,£53.13
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,£40.30
Wall and Piece,4,£44.18
The Four Agreements: A Practical Guide to Personal Freedom,5,£17.66
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,£31.05
The Elephant Tree,5,£23.82
Sophie's World,5,£15.94
Penny Maybe,3,£33.29
Behind Closed Doors,4,£52.22
Slow States of Collapse: Poems,3,£57.31
Private Paris (Private #10),5,£47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,£23.11
"We Love You, Charlie Freeman",5,£50.27
Untitled Collection: Sabbath Poems 2014,4,£14.27
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,£44.18
Unicorn Tracks,3,£18.78
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,£31.12
This One Summer,4,£19.49
Thirst,5,£17.27
The Past Never Ends,4,£56.50
The Natural History of Us (The Fine Art of Pretending #2),3,£45.22
The Nameless City (The Nameless City #1),4,£38.16
The Murder That Never Was (Forensic Instincts #5),3,£54.11
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,£42.96
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,£23.89
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,£16.77
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,£20.59
The Death of Humanity: and the Case for Life,4,£58.11
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,£49.05
The Art Forger,3,£40.76
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,£32.24
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,£41.83
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,£25.02
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,£50.40
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,£13.61
Princess Between Worlds (Wide-Awake Princess #5),5,£13.34
Patience,3,£10.16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,£15.44
On a Midnight Clear,3,£14.07
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,£14.02
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,£45.61
Join,5,£35.67
In the Country We Love: My Family Divided,4,£22.00
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,£57.36
I am a Hero Omnibus Volume 1,3,£54.63
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,£29.69
First and First (Five Boroughs #3),4,£15.97
Danganronpa Volume 1,4,£51.99
Crown of Midnight (Throne of Glass #2),3,£43.29
"Codename Baboushka, Volume 1: The Conclave of Death",4,£36.72
Camp Midnight,4,£17.08
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,£29.14
Burning,3,£28.81
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,£56.76
A Flight of Arrows (The Pathfinders #2),5,£55.53
A Fierce and Subtle Poison,4,£28.13
(Un)Qualified: How God Uses Broken People to Do Big Things,5,£54.00
You Are What You Love: The Spiritual Power of Habit,4,£21.87
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,£43.30
Tracing Numbers on a Train,3,£41.60
Throne of Glass (Throne of Glass #1),3,£35.07
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,£58.08
The Vacationers,4,£42.15
The Third Wave: An Entrepreneur’s Vision of the Future,5,£12.61
The Stranger,4,£17.44
The Secret (The Secret #1),4,£27.37
The Regional Office Is Under Attack!,5,£51.36
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,£37.34
The Murder of Roger Ackroyd (Hercule Poirot #4),4,£44.10
The Mistake (Off-Campus #2),3,£43.29
The Kite Runner,4,£41.82
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,£32.00
The Artist's Way: A Spiritual Path to Higher Creativity,5,£38.49
The Art of War,5,£33.34
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,£27.55
Something More Than This,4,£16.24
"Shobu Samurai, Project Aryoku (#3)",3,£29.06
Scarlett Epstein Hates It Here,5,£43.55
Redeeming Love,5,£20.47
Poems That Make Grown Women Cry,4,£14.19
Mrs. Houdini,5,£30.25
Modern Romance,5,£28.26
Little Red,3,£13.47
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,£48.56
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,£57.36
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,£49.43
Frostbite (Vampire Academy #2),5,£29.99
Finders Keepers (Bill Hodges Trilogy #2),5,£53.53
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,£41.62
Eureka Trivia 6.0,4,£54.59
Drive: The Surprising Truth About What Motivates Us,4,£34.95
Done Rubbed Out (Reightman & Bailey #1),5,£37.72
Doing It Over (Most Likely To #1),3,£35.61
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,£42.16
